时间戳,时间,均价,数据类型
1766073600000,2025-12-19 00:00:00,1600,sampled
1766082600000,2025-12-19 02:30:00,1621,sampled
1766095200000,2025-12-19 06:00:00,1428,sampled
1766106000000,2025-12-19 09:00:00,1454,sampled
1766116800000,2025-12-19 12:00:00,1396,sampled
1766127600000,2025-12-19 15:00:00,1399,sampled
1766138400000,2025-12-19 18:00:00,1462,sampled
1766149200000,2025-12-19 21:00:00,1487,sampled
1766160000000,2025-12-20 00:00:00,1550,sampled
1766170800000,2025-12-20 03:00:00,1436,sampled
1766181600000,2025-12-20 06:00:00,1460,sampled
1766192400000,2025-12-20 09:00:00,1485,sampled
1766203200000,2025-12-20 12:00:00,1491,sampled
1766214000000,2025-12-20 15:00:00,1520,sampled
1766224800000,2025-12-20 18:00:00,1579,sampled
1766235600000,2025-12-20 21:00:00,1604,sampled
1766246400000,2025-12-21 00:00:00,1609,sampled
1766257200000,2025-12-21 03:00:00,1462,sampled
1766268000000,2025-12-21 06:00:00,1487,sampled
1766278800000,2025-12-21 09:00:00,1486,sampled
1766289600000,2025-12-21 12:00:00,1521,sampled
1766300400000,2025-12-21 15:00:00,1549,sampled
1766311200000,2025-12-21 18:00:00,1598,sampled
1766322000000,2025-12-21 21:00:00,1604,sampled
1766332800000,2025-12-22 00:00:00,1639,sampled
1766343600000,2025-12-22 03:00:00,1445,sampled
1766354400000,2025-12-22 06:00:00,1480,sampled
1766365200000,2025-12-22 09:00:00,1503,sampled
1766376000000,2025-12-22 12:00:00,1421,sampled
1766386800000,2025-12-22 15:00:00,1429,sampled
1766397600000,2025-12-22 18:00:00,1507,sampled
1766408400000,2025-12-22 21:00:00,1516,sampled
1766419200000,2025-12-23 00:00:00,1589,sampled
1766430000000,2025-12-23 03:00:00,1446,sampled
1766440800000,2025-12-23 06:00:00,1458,sampled
1766451600000,2025-12-23 09:00:00,1482,sampled
1766462400000,2025-12-23 12:00:00,1429,sampled
1766473200000,2025-12-23 15:00:00,1476,sampled
1766484000000,2025-12-23 18:00:00,1506,sampled
1766494800000,2025-12-23 21:00:00,1517,sampled
1766505600000,2025-12-24 00:00:00,1582,sampled
1766516400000,2025-12-24 03:00:00,1477,sampled
1766527200000,2025-12-24 06:00:00,1486,sampled
1766538000000,2025-12-24 09:00:00,1484,sampled
1766548800000,2025-12-24 12:00:00,1484,sampled
1766559600000,2025-12-24 15:00:00,1489,sampled
1766570400000,2025-12-24 18:00:00,1520,sampled
1766581200000,2025-12-24 21:00:00,1607,sampled
1766592000000,2025-12-25 00:00:00,1645,sampled
1766602800000,2025-12-25 03:00:00,1582,sampled
1766613600000,2025-12-25 06:00:00,1586,sampled
1766624400000,2025-12-25 09:00:00,1602,sampled
1766635200000,2025-12-25 12:00:00,1602,sampled
1766646000000,2025-12-25 15:00:00,1608,sampled
1766656800000,2025-12-25 18:00:00,1638,sampled
1766667600000,2025-12-25 21:00:00,1640,sampled
1766678400000,2025-12-26 00:00:00,1678,sampled
1766689200000,2025-12-26 03:00:00,1651,sampled
1766698200000,2025-12-26 05:30:00,1578,sampled
1766710800000,2025-12-26 09:00:00,1611,sampled
