时间戳,时间,均价,数据类型
1770015600000,2026-02-02 15:00:00,2164,sampled
1770026400000,2026-02-02 18:00:00,2299,sampled
1770037200000,2026-02-02 21:00:00,2295,sampled
1770046200000,2026-02-02 23:30:00,2325,sampled
1770057000000,2026-02-03 02:30:00,2327,sampled
1770069600000,2026-02-03 06:00:00,1880,sampled
1770080400000,2026-02-03 09:00:00,1933,sampled
1770091200000,2026-02-03 12:00:00,1958,sampled
1770102000000,2026-02-03 15:00:00,2084,sampled
1770112800000,2026-02-03 18:00:00,2263,sampled
1770123600000,2026-02-03 21:00:00,2293,sampled
1770134400000,2026-02-04 00:00:00,2303,sampled
1770145200000,2026-02-04 03:00:00,1973,sampled
1770156000000,2026-02-04 06:00:00,1912,sampled
1770166800000,2026-02-04 09:00:00,1942,sampled
1770177600000,2026-02-04 12:00:00,1974,sampled
1770188400000,2026-02-04 15:00:00,2116,sampled
1770199200000,2026-02-04 18:00:00,2293,sampled
1770210000000,2026-02-04 21:00:00,2298,sampled
1770220800000,2026-02-05 00:00:00,2338,sampled
1770231600000,2026-02-05 03:00:00,2006,sampled
1770242400000,2026-02-05 06:00:00,1927,sampled
1770253200000,2026-02-05 09:00:00,1972,sampled
1770264000000,2026-02-05 12:00:00,2046,sampled
1770274800000,2026-02-05 15:00:00,2157,sampled
1770285600000,2026-02-05 18:00:00,2300,sampled
1770296400000,2026-02-05 21:00:00,2321,sampled
1770307200000,2026-02-06 00:00:00,2339,sampled
1770318000000,2026-02-06 03:00:00,1973,sampled
1770328800000,2026-02-06 06:00:00,1901,sampled
1770339600000,2026-02-06 09:00:00,1957,sampled
1770348600000,2026-02-06 11:30:00,1988,sampled
1770361200000,2026-02-06 15:00:00,2105,sampled
1770372000000,2026-02-06 18:00:00,2268,sampled
1770382800000,2026-02-06 21:00:00,2269,sampled
1770393600000,2026-02-07 00:00:00,2302,sampled
1770404400000,2026-02-07 03:00:00,1987,sampled
1770415200000,2026-02-07 06:00:00,1917,sampled
1770426000000,2026-02-07 09:00:00,1954,sampled
1770436800000,2026-02-07 12:00:00,2022,sampled
1770445800000,2026-02-07 14:30:00,2130,sampled
1770458400000,2026-02-07 18:00:00,2275,sampled
1770469200000,2026-02-07 21:00:00,2241,sampled
1770480000000,2026-02-08 00:00:00,2289,sampled
1770490800000,2026-02-08 03:00:00,1996,sampled
1770501600000,2026-02-08 06:00:00,1918,sampled
1770512400000,2026-02-08 09:00:00,2016,sampled
1770523200000,2026-02-08 12:00:00,2085,sampled
1770534000000,2026-02-08 15:00:00,2170,sampled
1770544800000,2026-02-08 18:00:00,2297,sampled
1770555600000,2026-02-08 21:00:00,2295,sampled
1770564600000,2026-02-08 23:30:00,2306,sampled
1770577200000,2026-02-09 03:00:00,1999,sampled
1770588000000,2026-02-09 06:00:00,1944,sampled
1770598800000,2026-02-09 09:00:00,2008,sampled
1770609600000,2026-02-09 12:00:00,2052,sampled
1770620400000,2026-02-09 15:00:00,2160,sampled
1770631200000,2026-02-09 18:00:00,2275,sampled
1770642000000,2026-02-09 21:00:00,2235,sampled
1770652800000,2026-02-10 00:00:00,2300,sampled
1770663600000,2026-02-10 03:00:00,1895,sampled
1770674400000,2026-02-10 06:00:00,1875,sampled
1770685200000,2026-02-10 09:00:00,1917,sampled
1770696000000,2026-02-10 12:00:00,1934,sampled
1770706800000,2026-02-10 15:00:00,2002,sampled
1770717600000,2026-02-10 18:00:00,2219,sampled
1770728400000,2026-02-10 21:00:00,2193,sampled
1770739200000,2026-02-11 00:00:00,2236,sampled
1770750000000,2026-02-11 03:00:00,1921,sampled
1770760800000,2026-02-11 06:00:00,1881,sampled
1770771600000,2026-02-11 09:00:00,1905,sampled
1770782400000,2026-02-11 12:00:00,1935,sampled
1770793200000,2026-02-11 15:00:00,2020,sampled
1770809400000,2026-02-11 19:30:00,2235,sampled
1770814800000,2026-02-11 21:00:00,2219,sampled
1770825600000,2026-02-12 00:00:00,2236,sampled
1770836400000,2026-02-12 03:00:00,1907,sampled
1770841800000,2026-02-12 04:30:00,1885,sampled
1770883200000,2026-02-12 16:00:00,2145,sampled
1770890400000,2026-02-12 18:00:00,2234,sampled
1770901200000,2026-02-12 21:00:00,2205,sampled
1770912000000,2026-02-13 00:00:00,2235,sampled
1770922800000,2026-02-13 03:00:00,1923,sampled
1770933600000,2026-02-13 06:00:00,1880,sampled
1770944400000,2026-02-13 09:00:00,1890,sampled
1770955200000,2026-02-13 12:00:00,1933,sampled
1770966000000,2026-02-13 15:00:00,2016,sampled
1770976800000,2026-02-13 18:00:00,2191,sampled
1770987600000,2026-02-13 21:00:00,2165,sampled
1770998400000,2026-02-14 00:00:00,2164,sampled
1771009200000,2026-02-14 03:00:00,1880,sampled
1771047000000,2026-02-14 13:30:00,1902,sampled
1771052400000,2026-02-14 15:00:00,1929,sampled
1771063200000,2026-02-14 18:00:00,2103,sampled
1771074000000,2026-02-14 21:00:00,2037,sampled
1771084800000,2026-02-15 00:00:00,2123,sampled
1771095600000,2026-02-15 03:00:00,1840,sampled
1771106400000,2026-02-15 06:00:00,1812,sampled
1771117200000,2026-02-15 09:00:00,1793,sampled
1771128000000,2026-02-15 12:00:00,1849,sampled
1771138800000,2026-02-15 15:00:00,1891,sampled
1771149600000,2026-02-15 18:00:00,1963,sampled
1771158600000,2026-02-15 20:30:00,2007,sampled
1771171200000,2026-02-16 00:00:00,2028,sampled
1771182000000,2026-02-16 03:00:00,1801,sampled
1771192800000,2026-02-16 06:00:00,1777,sampled
1771203600000,2026-02-16 09:00:00,1772,sampled
1771214400000,2026-02-16 12:00:00,1840,sampled
1771225200000,2026-02-16 15:00:00,1901,sampled
1771236000000,2026-02-16 18:00:00,1990,sampled
1771246800000,2026-02-16 21:00:00,2024,sampled
1771257600000,2026-02-17 00:00:00,2061,sampled
1771268400000,2026-02-17 03:00:00,1767,sampled
1771279200000,2026-02-17 06:00:00,1732,sampled
1771290000000,2026-02-17 09:00:00,1711,sampled
1771300800000,2026-02-17 12:00:00,1779,sampled
1771311600000,2026-02-17 15:00:00,1857,sampled
1771322400000,2026-02-17 18:00:00,1952,sampled
1771333200000,2026-02-17 21:00:00,1952,sampled
1771344000000,2026-02-18 00:00:00,1991,sampled
1771354800000,2026-02-18 03:00:00,1714,sampled
1771365600000,2026-02-18 06:00:00,1671,sampled
1771374600000,2026-02-18 08:30:00,1668,sampled
1771387200000,2026-02-18 12:00:00,1708,sampled
1771398000000,2026-02-18 15:00:00,1791,sampled
1771408800000,2026-02-18 18:00:00,1893,sampled
1771419600000,2026-02-18 21:00:00,1919,sampled
1771430400000,2026-02-19 00:00:00,1933,sampled
1771441200000,2026-02-19 03:00:00,1738,sampled
1771452000000,2026-02-19 06:00:00,1698,sampled
1771462800000,2026-02-19 09:00:00,1691,sampled
1771473600000,2026-02-19 12:00:00,1723,sampled
1771484400000,2026-02-19 15:00:00,1796,sampled
1771495200000,2026-02-19 18:00:00,1908,sampled
1771506000000,2026-02-19 21:00:00,1918,sampled
1771516800000,2026-02-20 00:00:00,1925,sampled
1771527600000,2026-02-20 03:00:00,1707,sampled
1771538400000,2026-02-20 06:00:00,1670,sampled
1771549200000,2026-02-20 09:00:00,1652,sampled
1771560000000,2026-02-20 12:00:00,1685,sampled
1771570800000,2026-02-20 15:00:00,1756,sampled
1771581600000,2026-02-20 18:00:00,1857,sampled
1771592400000,2026-02-20 21:00:00,1883,sampled
1771603200000,2026-02-21 00:00:00,1890,sampled
1771614000000,2026-02-21 03:00:00,1705,sampled
1771624800000,2026-02-21 06:00:00,1665,sampled
1771635600000,2026-02-21 09:00:00,1659,sampled
1771646400000,2026-02-21 12:00:00,1688,sampled
1771657200000,2026-02-21 15:00:00,1759,sampled
1771669800000,2026-02-21 18:30:00,1861,sampled
1771678800000,2026-02-21 21:00:00,1884,sampled
1771689600000,2026-02-22 00:00:00,1891,sampled
1771698600000,2026-02-22 02:30:00,1880,sampled
1771711200000,2026-02-22 06:00:00,1678,sampled
1771722000000,2026-02-22 09:00:00,1674,sampled
1771732800000,2026-02-22 12:00:00,1727,sampled
1771743600000,2026-02-22 15:00:00,1790,sampled
1771754400000,2026-02-22 18:00:00,1893,sampled
1771765200000,2026-02-22 21:00:00,1897,sampled
1771776000000,2026-02-23 00:00:00,1922,sampled
1771786800000,2026-02-23 03:00:00,1724,sampled
1771797600000,2026-02-23 06:00:00,1676,sampled
1771808400000,2026-02-23 09:00:00,1652,sampled
1771819200000,2026-02-23 12:00:00,1732,sampled
1771830000000,2026-02-23 15:00:00,1789,sampled
1771840800000,2026-02-23 18:00:00,1891,sampled
1771851600000,2026-02-23 21:00:00,1873,sampled
1771862400000,2026-02-24 00:00:00,1886,sampled
1771873200000,2026-02-24 03:00:00,1681,sampled
1771884000000,2026-02-24 06:00:00,1666,sampled
1771894800000,2026-02-24 09:00:00,1631,sampled
1771905600000,2026-02-24 12:00:00,1685,sampled
1771916400000,2026-02-24 15:00:00,1750,sampled
1771929000000,2026-02-24 18:30:00,1834,sampled
1771938000000,2026-02-24 21:00:00,1820,sampled
1771948800000,2026-02-25 00:00:00,1855,sampled
1771959600000,2026-02-25 03:00:00,1655,sampled
1771970400000,2026-02-25 06:00:00,1651,sampled
1771981200000,2026-02-25 09:00:00,1603,sampled
1771992000000,2026-02-25 12:00:00,1685,sampled
1772002800000,2026-02-25 15:00:00,1745,sampled
1772013600000,2026-02-25 18:00:00,1829,sampled
1772024400000,2026-02-25 21:00:00,1834,sampled
1772035200000,2026-02-26 00:00:00,1857,sampled
1772046000000,2026-02-26 03:00:00,1681,sampled
1772056800000,2026-02-26 06:00:00,1675,sampled
1772067600000,2026-02-26 09:00:00,1653,sampled
1772078400000,2026-02-26 12:00:00,1691,sampled
