时间戳,时间,均价,数据类型
1768374000000,2026-01-14 15:00:00,1465,sampled
1768384800000,2026-01-14 18:00:00,1516,sampled
1768395600000,2026-01-14 21:00:00,1531,sampled
1768406400000,2026-01-15 00:00:00,1562,sampled
1768417200000,2026-01-15 03:00:00,1484,sampled
1768428000000,2026-01-15 06:00:00,1452,sampled
1768438800000,2026-01-15 09:00:00,1397,sampled
1768449600000,2026-01-15 12:00:00,1356,sampled
1768460400000,2026-01-15 15:00:00,1363,sampled
1768471200000,2026-01-15 18:00:00,1440,sampled
1768482000000,2026-01-15 21:00:00,1460,sampled
1768492800000,2026-01-16 00:00:00,1523,sampled
1768503600000,2026-01-16 03:00:00,1464,sampled
1768514400000,2026-01-16 06:00:00,1214,sampled
1768525200000,2026-01-16 09:00:00,1248,sampled
1768536000000,2026-01-16 12:00:00,1282,sampled
1768546800000,2026-01-16 15:00:00,1263,sampled
1768557600000,2026-01-16 18:00:00,1293,sampled
1768568400000,2026-01-16 21:00:00,1283,sampled
1768579200000,2026-01-17 00:00:00,1322,sampled
1768590000000,2026-01-17 03:00:00,1323,sampled
1768600800000,2026-01-17 06:00:00,1202,sampled
1768611600000,2026-01-17 09:00:00,1184,sampled
1768622400000,2026-01-17 12:00:00,1299,sampled
1768633200000,2026-01-17 15:00:00,1330,sampled
1768644000000,2026-01-17 18:00:00,1443,sampled
1768654800000,2026-01-17 21:00:00,1420,sampled
1768665600000,2026-01-18 00:00:00,1363,sampled
1768676400000,2026-01-18 03:00:00,1266,sampled
1768687200000,2026-01-18 06:00:00,1258,sampled
1768698000000,2026-01-18 09:00:00,1245,sampled
1768708800000,2026-01-18 12:00:00,1293,sampled
1768719600000,2026-01-18 15:00:00,1294,sampled
1768730400000,2026-01-18 18:00:00,1342,sampled
1768741200000,2026-01-18 21:00:00,1314,sampled
1768750200000,2026-01-18 23:30:00,1328,sampled
1768762800000,2026-01-19 03:00:00,1271,sampled
1768773600000,2026-01-19 06:00:00,1286,sampled
1768784400000,2026-01-19 09:00:00,1264,sampled
1768795200000,2026-01-19 12:00:00,1259,sampled
1768806000000,2026-01-19 15:00:00,1260,sampled
1768816800000,2026-01-19 18:00:00,1295,sampled
1768827600000,2026-01-19 21:00:00,1322,sampled
1768838400000,2026-01-20 00:00:00,1529,sampled
1768849200000,2026-01-20 03:00:00,1450,sampled
1768860000000,2026-01-20 06:00:00,1340,sampled
1768870800000,2026-01-20 09:00:00,1293,sampled
